sample_id,tissue,condition,batch,total_reads_millions,pct_mapped,pct_duplicates,rin,qc_note
S001,hippocampus,control,B1,42.6,91.2,12.1,8.4,
S002,hippocampus,treated,B1,38.5,88.7,14.9,7.9,
S003,cortex,control,B1,25.4,82.1,18.5,6.2,low input
S004,cortex,treated,B2,51.2,94.3,9.8,8.7,
S005,striatum,control,B2,31.8,89.5,17.0,7.1,
S006,striatum,treated,B2,29.9,87.4,22.6,6.8,high duplicates
S007,hippocampus,control,B3,,90.1,11.4,8.1,read count missing
S008,hippocampus,treated,B3,44.1,,13.2,8.0,mapping missing
S009,cortex,control,B3,47.7,92.8,10.7,,RIN missing
S010,cortex,treated,B1,36.3,86.2,16.8,7.4,
S011,striatum,control,B1,40.5,90.7,15.1,8.3,
S012,striatum,treated,B3,27.6,84.9,19.7,6.5,
S013,cerebellum,control,B2,55.0,95.1,8.9,9.0,
S014,cerebellum,treated,B2,33.1,89.0,12.4,7.8,
S015,hippocampus,treated,B2,48.2,93.5,10.2,8.6,
S016,cortex,control,B2,39.4,88.9,14.0,7.6,
S017,striatum,treated,B1,45.8,91.0,11.8,8.2,
S018,hippocampus,control,B1,22.0,79.5,26.0,5.9,failed extraction
