"gene_id"	"sample_id"	"count"
"ENSMUSG00000064341"	"M_D7_R1"	1850
"ENSMUSG00000064341"	"F_D7_R1"	1920
"ENSMUSG00000064341"	"F_D7_R2"	1788
"ENSMUSG00000064341"	"M_D7_R2"	1812
"ENSMUSG00000064341"	"F_D14_R1"	2101
"ENSMUSG00000064341"	"M_D14_R1"	2050
"ENSMUSG00000064341"	"F_D14_R2"	1999
"ENSMUSG00000064341"	"M_D14_R2"	2088
"ENSMUSG00000064341"	"M_Adult_R1"	2400
"ENSMUSG00000064341"	"F_Adult_R1"	2350
"ENSMUSG00000064341"	"F_Adult_R2"	2295
"ENSMUSG00000064341"	"M_Adult_R2"	2420
"ENSMUSG00000064345"	"M_D7_R1"	980
"ENSMUSG00000064345"	"F_D7_R1"	1002
"ENSMUSG00000064345"	"F_D7_R2"	955
"ENSMUSG00000064345"	"M_D7_R2"	990
"ENSMUSG00000064345"	"F_D14_R1"	1110
"ENSMUSG00000064345"	"M_D14_R1"	1088
"ENSMUSG00000064345"	"F_D14_R2"	1099
"ENSMUSG00000064345"	"M_D14_R2"	1125
"ENSMUSG00000064345"	"M_Adult_R1"	1300
"ENSMUSG00000064345"	"F_Adult_R1"	1288
"ENSMUSG00000064345"	"F_Adult_R2"	1270
"ENSMUSG00000064345"	"M_Adult_R2"	1325
"ENSMUSG00000076431"	"M_D7_R1"	75
"ENSMUSG00000076431"	"F_D7_R1"	83
"ENSMUSG00000076431"	"F_D7_R2"	78
"ENSMUSG00000076431"	"M_D7_R2"	69
"ENSMUSG00000076431"	"F_D14_R1"	110
"ENSMUSG00000076431"	"M_D14_R1"	95
"ENSMUSG00000076431"	"F_D14_R2"	105
"ENSMUSG00000076431"	"M_D14_R2"	99
"ENSMUSG00000076431"	"M_Adult_R1"	145
"ENSMUSG00000076431"	"F_Adult_R1"	158
"ENSMUSG00000076431"	"F_Adult_R2"	150
"ENSMUSG00000076431"	"M_Adult_R2"	138
"ENSMUSG00000024553"	"M_D7_R1"	120
"ENSMUSG00000024553"	"F_D7_R1"	133
"ENSMUSG00000024553"	"F_D7_R2"	128
"ENSMUSG00000024553"	"M_D7_R2"	118
"ENSMUSG00000024553"	"F_D14_R1"	170
"ENSMUSG00000024553"	"M_D14_R1"	160
"ENSMUSG00000024553"	"F_D14_R2"	165
"ENSMUSG00000024553"	"M_D14_R2"	155
"ENSMUSG00000024553"	"M_Adult_R1"	220
"ENSMUSG00000024553"	"F_Adult_R1"	235
"ENSMUSG00000024553"	"F_Adult_R2"	225
"ENSMUSG00000024553"	"M_Adult_R2"	215
"ENSMUSG00000030798"	"M_D7_R1"	500
"ENSMUSG00000030798"	"F_D7_R1"	520
"ENSMUSG00000030798"	"F_D7_R2"	505
"ENSMUSG00000030798"	"M_D7_R2"	490
"ENSMUSG00000030798"	"F_D14_R1"	560
"ENSMUSG00000030798"	"M_D14_R1"	555
"ENSMUSG00000030798"	"F_D14_R2"	548
"ENSMUSG00000030798"	"M_D14_R2"	570
"ENSMUSG00000030798"	"M_Adult_R1"	610
"ENSMUSG00000030798"	"F_Adult_R1"	630
"ENSMUSG00000030798"	"F_Adult_R2"	625
"ENSMUSG00000030798"	"M_Adult_R2"	600
"ENSMUSG00000040451"	"M_D7_R1"	42
"ENSMUSG00000040451"	"F_D7_R1"	46
"ENSMUSG00000040451"	"F_D7_R2"	44
"ENSMUSG00000040451"	"M_D7_R2"	40
"ENSMUSG00000040451"	"F_D14_R1"	58
"ENSMUSG00000040451"	"M_D14_R1"	51
"ENSMUSG00000040451"	"F_D14_R2"	55
"ENSMUSG00000040451"	"M_D14_R2"	52
"ENSMUSG00000040451"	"M_Adult_R1"	70
"ENSMUSG00000040451"	"F_Adult_R1"	77
"ENSMUSG00000040451"	"F_Adult_R2"	74
"ENSMUSG00000040451"	"M_Adult_R2"	68
"ENSMUSG00000049668"	"M_D7_R1"	15
"ENSMUSG00000049668"	"F_D7_R1"	17
"ENSMUSG00000049668"	"F_D7_R2"	16
"ENSMUSG00000049668"	"M_D7_R2"	14
"ENSMUSG00000049668"	"F_D14_R1"	45
"ENSMUSG00000049668"	"M_D14_R1"	39
"ENSMUSG00000049668"	"F_D14_R2"	43
"ENSMUSG00000049668"	"M_D14_R2"	42
"ENSMUSG00000049668"	"M_Adult_R1"	110
"ENSMUSG00000049668"	"F_Adult_R1"	125
"ENSMUSG00000049668"	"F_Adult_R2"	118
"ENSMUSG00000049668"	"M_Adult_R2"	108
"ENSMUSG00000031134"	"M_D7_R1"	88
"ENSMUSG00000031134"	"F_D7_R1"	95
"ENSMUSG00000031134"	"F_D7_R2"	91
"ENSMUSG00000031134"	"M_D7_R2"	85
"ENSMUSG00000031134"	"F_D14_R1"	130
"ENSMUSG00000031134"	"M_D14_R1"	122
"ENSMUSG00000031134"	"F_D14_R2"	128
"ENSMUSG00000031134"	"M_D14_R2"	124
"ENSMUSG00000031134"	"M_Adult_R1"	180
"ENSMUSG00000031134"	"F_Adult_R1"	190
"ENSMUSG00000031134"	"F_Adult_R2"	188
"ENSMUSG00000031134"	"M_Adult_R2"	175
