gene_id	gene_symbol	biotype	CTRL_R1	RD_R1	chromosome	CTRL_R2	RD_R2	length_bp	CTRL_R3	RD_R3
ENSMUSG00000064341	Rho	protein_coding	18420	22350	6	17980	21880	2105	19110	23120
ENSMUSG00000027346	Pde6b	protein_coding	8320	4210	5	8010	3980	3221	8540	4460
ENSMUSG00000031749	Gnat1	protein_coding	12650	7340	4	11980	6980	2457	13110	7610
ENSMUSG00000038393	Opn1sw	protein_coding	2140	1760	6	2050	1690	1044	2260	1830
ENSMUSG00000031394	Opn1mw	protein_coding	3180	2470	X	3010	2310	1092	3290	2580
ENSMUSG00000039195	Rlbp1	protein_coding	4860	6120	7	4720	5890	2386	5010	6340
ENSMUSG00000020932	Gfap	protein_coding	780	2840	11	820	2710	2471	760	2960
ENSMUSG00000024397	Aif1	protein_coding	410	1960	17	380	1830	1295	440	2070
ENSMUSG00000029580	Malat1	lncRNA	15600	18120	19	14980	17640	6982	16040	18690
ENSMUSG00000029570	Actb	protein_coding	9240	10830	5	8870	10420	1684	9510	11140
